date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:15	73917/73917	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:15%20GMT	https://edygrad.com/categories/Lifestyle	C:/xampp/htdocs/edygrad/edygrad.com/categories/Lifestyle.html	(from https://edygrad.com/)
22:15:15	3461/3461	---M--	200	added ('OK')	image/png	etag:%22d85-64deeb90-6d5067fc494fa96c;;;%22	https://edygrad.com/store/1/default_images/categories_icons/umbrella.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/umbrella.png	(from https://edygrad.com/)
22:15:16	73917/73917	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:15%20GMT	https://edygrad.com/categories/Lifestyle/Lifestyle	C:/xampp/htdocs/edygrad/edygrad.com/categories/Lifestyle/Lifestyle.html	(from https://edygrad.com/)
22:15:16	4048/4048	---M--	200	added ('OK')	image/png	etag:%22fd0-64deeb90-3ff1a1660913545e;;;%22	https://edygrad.com/store/1/default_images/categories_icons/sub_categories/sun.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/sub_categories/sun.png	(from https://edygrad.com/)
22:15:16	79868/79868	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:16%20GMT	https://edygrad.com/categories/Lifestyle/Beauty-and-Makeup	C:/xampp/htdocs/edygrad/edygrad.com/categories/Lifestyle/Beauty-and-Makeup.html	(from https://edygrad.com/)
22:15:16	3681/3681	---M--	200	added ('OK')	image/png	etag:%22e61-64deeb90-c449a71e68871677;;;%22	https://edygrad.com/store/1/default_images/categories_icons/sub_categories/droplet.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/sub_categories/droplet.png	(from https://edygrad.com/)
22:15:17	82585/82585	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:17%20GMT	https://edygrad.com/categories/Health-and-Fitness	C:/xampp/htdocs/edygrad/edygrad.com/categories/Health-and-Fitness.html	(from https://edygrad.com/)
22:15:17	3549/3549	---M--	200	added ('OK')	image/png	etag:%22ddd-64deeb90-4c4c64eae66d137b;;;%22	https://edygrad.com/store/1/default_images/categories_icons/heart.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/heart.png	(from https://edygrad.com/)
22:15:18	73282/73282	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:18%20GMT	https://edygrad.com/categories/Academics	C:/xampp/htdocs/edygrad/edygrad.com/categories/Academics.html	(from https://edygrad.com/)
22:15:18	1992/1992	---M--	200	added ('OK')	image/png	etag:%227c8-64deeb90-a560336c8b3f4e76;;;%22	https://edygrad.com/store/1/default_images/categories_icons/briefcase.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/briefcase.png	(from https://edygrad.com/)
22:15:19	79002/79002	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:19%20GMT	https://edygrad.com/categories/Academics/Math	C:/xampp/htdocs/edygrad/edygrad.com/categories/Academics/Math.html	(from https://edygrad.com/)
22:15:19	1868/1868	---M--	200	added ('OK')	image/png	etag:%2274c-64deeb90-78f1d369e6d844e6;;;%22	https://edygrad.com/store/1/default_images/categories_icons/sub_categories/divide-square.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/sub_categories/divide-square.png	(from https://edygrad.com/)
22:15:20	81952/81952	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202023%2005:15:20%20GMT	https://edygrad.com/categories/Academics/Science	C:/xampp/htdocs/edygrad/edygrad.com/categories/Academics/Science.html	(from https://edygrad.com/)
22:15:20	2657/2657	---M--	200	added ('OK')	image/png	etag:%22a61-64deeb90-cfe8c40f71778107;;;%22	https://edygrad.com/store/1/default_images/categories_icons/sub_categories/zap.png	C:/xampp/htdocs/edygrad/edygrad.com/store/1/default_images/categories_icons/sub_categories/zap.png	(from https://edygrad.com/)
